parameter,mean,std,median
v_norm,0.6705037,0.16602597,0.6743511
a_0,1.5001442,0.23338754,1.4623402
w_s_eff,0.89660317,0.16833097,0.92698157
t_0,0.30582318,0.096366614,0.29443178
alpha_gain,0.74688506,0.071875066,0.735211
beta_val,0.010752275,0.24135715,0.03496415
