parameter,mean,std,median
v_norm,0.80624425,0.48617682,0.6846324
a_0,1.2253615,0.2767193,1.1799208
w_s_eff,0.7090384,0.271727,0.6632083
t_0,0.3124217,0.11199685,0.31879348
alpha_gain,0.7305892,0.15352547,0.70783734
beta_val,-0.0011660138,0.5155837,-0.025508365
