subject,num_trials,v_norm_mean,v_norm_median,v_norm_std,a_0_mean,a_0_median,a_0_std,w_s_eff_mean,w_s_eff_median,w_s_eff_std,t_0_mean,t_0_median,t_0_std,alpha_gain_mean,alpha_gain_median,alpha_gain_std,beta_val_mean,beta_val_median,beta_val_std
114,288,0.6664884090423584,0.6642738580703735,0.16401620209217072,1.491997480392456,1.4636725187301636,0.2356235682964325,0.8769851326942444,0.8837409615516663,0.1712121218442917,0.3091835677623749,0.30348238348960876,0.0960305854678154,0.7503656148910522,0.7470403909683228,0.07072940468788147,0.010145435109734535,0.002156855771318078,0.23508605360984802
115,288,0.6647273898124695,0.6587958335876465,0.16781994700431824,1.4930421113967896,1.471829891204834,0.23749150335788727,0.890219509601593,0.9182189106941223,0.16490128636360168,0.3129076063632965,0.31034108996391296,0.09454519301652908,0.7497818470001221,0.7441872358322144,0.06897114217281342,0.011253414675593376,0.02117256075143814,0.24046792089939117
116,288,0.6617134213447571,0.6563445329666138,0.16554367542266846,1.5113773345947266,1.5441856384277344,0.24556109309196472,0.8731846213340759,0.8677827715873718,0.16999179124832153,0.3131018579006195,0.3087937533855438,0.09538126736879349,0.7520790696144104,0.7592635750770569,0.07134876400232315,0.004000526387244463,-0.026755768805742264,0.23625949025154114
119,252,0.6654597520828247,0.6819811463356018,0.1658027470111847,1.493016004562378,1.4771759510040283,0.23704631626605988,0.8828923106193542,0.8889173269271851,0.16961434483528137,0.30683812499046326,0.29902276396751404,0.09506569802761078,0.7483989000320435,0.7401936054229736,0.07041891664266586,0.004219844006001949,-0.004721126984804869,0.23578502237796783
122,288,0.6633835434913635,0.6672422289848328,0.1643390953540802,1.489254355430603,1.4695981740951538,0.2356305569410324,0.8801783919334412,0.892327606678009,0.16917426884174347,0.3138411343097687,0.30887463688850403,0.09478672593832016,0.748998761177063,0.7415197491645813,0.06983411312103271,0.030277790501713753,0.071709044277668,0.23859655857086182
123,288,0.6613083481788635,0.653725802898407,0.15827596187591553,1.5084494352340698,1.5218065977096558,0.23717428743839264,0.8784148097038269,0.871649444103241,0.1636844277381897,0.3115070164203644,0.30944007635116577,0.09596113860607147,0.7472641468048096,0.7365514636039734,0.07179062068462372,0.007958507165312767,-0.008539184927940369,0.23477378487586975
124,288,0.6611005663871765,0.6531501412391663,0.1595960408449173,1.4926613569259644,1.470963954925537,0.23608040809631348,0.8868341445922852,0.9004467129707336,0.16638091206550598,0.3109714388847351,0.3034699559211731,0.09392209351062775,0.7495603561401367,0.7556758522987366,0.06875099241733551,-0.003110048593953252,-0.02064383588731289,0.23889833688735962
126,288,0.6666910648345947,0.6747628450393677,0.16059879958629608,1.5052906274795532,1.5171879529953003,0.24247407913208008,0.8742677569389343,0.8671134114265442,0.168510302901268,0.30976051092147827,0.29996275901794434,0.09477392584085464,0.7457751631736755,0.7364782094955444,0.07034037262201309,0.007234831806272268,0.043706264346838,0.23964321613311768
128,288,0.6582586765289307,0.6530297994613647,0.16185200214385986,1.5075305700302124,1.51116144657135,0.23802073299884796,0.8817542195320129,0.8991304636001587,0.16610795259475708,0.3094375431537628,0.30284756422042847,0.09557042270898819,0.7483171224594116,0.7449560165405273,0.07163465768098831,0.017961731180548668,0.032422468066215515,0.22920748591423035
129,288,0.6675319671630859,0.6667630672454834,0.16345149278640747,1.494338870048523,1.4760068655014038,0.230498805642128,0.8781431317329407,0.8830755352973938,0.17015665769577026,0.31010550260543823,0.2991543114185333,0.09547509253025055,0.74744713306427,0.7439539432525635,0.0716942772269249,0.005752441938966513,0.006061309948563576,0.23508229851722717
131,288,0.665443480014801,0.6870518922805786,0.1671280711889267,1.5024980306625366,1.4996649026870728,0.2354639172554016,0.8858453035354614,0.8918284773826599,0.16338379681110382,0.30990085005760193,0.2987297773361206,0.09254287928342819,0.7520703077316284,0.7528819441795349,0.06941793113946915,0.016502173617482185,0.03730392083525658,0.23859480023384094
132,288,0.6621823906898499,0.6587870121002197,0.16248111426830292,1.4976319074630737,1.4918861389160156,0.24149002134799957,0.8820505142211914,0.8993781208992004,0.16905558109283447,0.31394708156585693,0.30925703048706055,0.09299100190401077,0.7518256902694702,0.7503811120986938,0.0709393247961998,0.004580383189022541,0.001146493712440133,0.23397183418273926
