parameter,mean,std,median
v_norm,0.7775126,0.492527,0.6144976
a_0,1.2144331,0.27791998,1.1584659
w_s_eff,0.6862947,0.26592216,0.6263196
t_0,0.3083774,0.11027038,0.31464407
alpha_gain,0.7238217,0.1549367,0.69245684
beta_val,-0.045212116,0.5230366,-0.06888038
