parameter,mean,std,median
v_norm,0.6672531,0.16801341,0.6790339
a_0,1.5010839,0.2303267,1.5090896
w_s_eff,0.8770568,0.1701971,0.8727569
t_0,0.3145185,0.09322638,0.31196243
alpha_gain,0.74680763,0.07096311,0.7451177
beta_val,0.0015668292,0.23520523,0.011274887
