v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.77691525,1.5237869,0.65450764,0.24965024,0.72228557,0.21577233
0.46557006,1.6980128,0.96109957,0.11604734,0.72279185,0.21816681
0.7478611,1.2067885,0.8177469,0.22215828,0.6553786,0.10306313
0.8994593,1.6871068,1.1937307,0.36269283,0.79122555,0.4135126
0.8935877,1.6948053,0.9942472,0.17158084,0.82297087,-0.32421485
0.5138814,1.9115002,0.9842453,0.36110336,0.8375071,0.33855766
0.7187807,1.3991183,1.0055029,0.2009302,0.7063666,0.1410977
0.82848865,1.0955911,0.5561969,0.41682476,0.79514176,-0.3488438
0.4376159,1.1553938,0.84856164,0.27889654,0.87270325,0.12031893
0.6096584,1.5710831,0.6424514,0.34772676,0.6559921,0.11884192
0.4301608,1.4334898,0.8337595,0.22784191,0.84597945,-0.49802127
0.89242816,1.8245918,0.9585447,0.10536265,0.7758098,0.08480336
0.40718418,1.7723676,0.57721335,0.39134786,0.68623525,0.26515433
0.7909053,1.8338281,0.956663,0.2778573,0.70408684,0.27780202
0.36666998,1.5933203,0.815411,0.37813607,0.6575653,0.065555856
0.81127644,1.3953474,0.82640445,0.3612744,0.6591785,0.3267401
0.39324084,1.2272879,0.6828918,0.10359962,0.7792604,0.07173382
0.7097307,1.5939697,1.1277735,0.43571383,0.7937122,-0.1437499
0.586738,1.3363937,0.5719919,0.28038836,0.7948476,0.39610633
0.90990984,1.0231957,0.68099874,0.17315856,0.79681104,0.17287451
0.6068477,1.3904539,1.1531032,0.27815044,0.735184,0.04267799
0.83807737,1.8716689,0.922282,0.3700547,0.72610354,-0.09761879
0.8725289,1.4388344,0.86990106,0.4524977,0.6469327,0.31290224
0.4935409,1.3725404,1.1151673,0.35718164,0.6400914,-0.11638484
0.7336835,1.4369106,0.79773873,0.37102363,0.73719674,-0.13331078
0.6632051,1.3991045,0.80956334,0.3487044,0.6523922,-0.11771519
0.6018318,1.1555343,0.5750569,0.18709491,0.66082335,-0.3169092
0.89742637,1.2076957,0.61896944,0.4163581,0.78645974,-0.054759502
0.51873684,1.5759355,0.82947534,0.110159166,0.7122113,0.089788
0.67050487,1.2674911,0.9820679,0.33356345,0.6910049,0.11589755
