parameter,mean,std,median
v_norm,0.66179854,0.16634701,0.6529775
a_0,1.494694,0.23654255,1.4703777
w_s_eff,0.8866804,0.17127071,0.90391964
t_0,0.30966547,0.09326123,0.30683246
alpha_gain,0.7489806,0.07220537,0.74330497
beta_val,-0.009513403,0.23539911,-0.027290054
