parameter,mean,std,median
v_norm,0.7899652,0.47719118,0.6655128
a_0,1.2030714,0.27656445,1.1575199
w_s_eff,0.71629983,0.27088845,0.6615896
t_0,0.30593568,0.11484358,0.31069568
alpha_gain,0.72793025,0.15453912,0.7077949
beta_val,-0.02867709,0.51222306,-0.060637314
