parameter,mean,std,median
v_norm,0.80603296,0.5034072,0.6690401
a_0,1.2078687,0.27562362,1.1507959
w_s_eff,0.69412035,0.2623485,0.6503064
t_0,0.30303216,0.11368389,0.30249688
alpha_gain,0.7200032,0.15378451,0.6882899
beta_val,-0.03828901,0.5210976,-0.067984045
