parameter,mean,std,median
v_norm,0.6553038,0.1621412,0.646031
a_0,1.4912294,0.2369891,1.4711031
w_s_eff,0.88598377,0.17072132,0.8852565
t_0,0.30736735,0.095772676,0.3017248
alpha_gain,0.7450495,0.0716539,0.736775
beta_val,-0.009185122,0.23490119,-0.012193266
