parameter,mean,std,median
v_norm,0.67535746,0.16375016,0.6933403
a_0,1.5092797,0.24012744,1.5315439
w_s_eff,0.87815404,0.17019004,0.8832121
t_0,0.31480524,0.09629546,0.31383497
alpha_gain,0.7526433,0.07140801,0.7518073
beta_val,0.01613662,0.23609404,0.034975875
