parameter,mean,std,median
v_norm,0.8050416,0.49064955,0.67301416
a_0,1.1952193,0.27630043,1.1410533
w_s_eff,0.7025182,0.2758197,0.64739025
t_0,0.3035211,0.11516926,0.30555752
alpha_gain,0.7235585,0.15081324,0.7025459
beta_val,-0.025801836,0.5373787,-0.004939112
