parameter,mean,std,median
v_norm,0.7868901,0.49968287,0.6339507
a_0,1.1967667,0.27713624,1.142975
w_s_eff,0.7007987,0.27194393,0.6495719
t_0,0.30385125,0.11607935,0.30119687
alpha_gain,0.72243845,0.15469193,0.6941059
beta_val,-0.02140566,0.5142597,-0.027496478
